ID,Site,URL,Full Street Address,Street address,Suite,City,State,Zip,Group,Brand Facebook URL,Brand Twitter handle,Brand Twitter URL,Newseum front page link KILL/WILL NOT WORK,Daily/Wkly,Frequency,MNG/JRC,lat,lon
1,Contra Costa Times,http://www.contracostatimes.com,"2640 Shadelands Drive, Walnut Creek, CA 94598",2640 Shadelands Drive,,Walnut Creek,CA,94598,BANG - Bay Area News Group,https://www.facebook.com/contracostatimes?fref=ts,@CCTimes,https://twitter.com/CCTimes,http://webmedia.newseum.org/newseum-multimedia/dfp/jpg15/lg/CA_CCT.jpg,D,D,MNG,37.927168,-122.023671
2,Inside Bay Area,http://www.insidebayarea.com/,"7677 Oakport St., Suite 950, Oakland, CA 94621",7677 Oakport St., Suite 950,Oakland,CA,94621,BANG - Bay Area News Group,https://www.facebook.com/oaklandtribune,@insidebayarea,https://twitter.com/insidebayarea,http://webmedia.newseum.org/newseum-multimedia/dfp/jpg15/lg/CA_OT.jpg,D,D,MNG,37.745764,-122.201457
3,San Jose Mercury News,http://www.mercurynews.com,"750 Ridder Park Drive, San Jose, CA 95190",750 Ridder Park Drive,,San Jose,CA,95190,BANG - Bay Area News Group,https://www.facebook.com/mercurynews,@mercnews,https://twitter.com/mercnews,http://webmedia.newseum.org/newseum-multimedia/dfp/jpg15/lg/CA_SJMN.jpg,D,D,MNG,37.377486,-121.902866
4,Marin Independent Journal,http://www.marinij.com/,"4000 Civic Center Drive, Suite 301, San Rafael, CA 94903",4000 Civic Center Drive, Suite 301,San Rafael,CA,94903,BANG - Bay Area News Group,https://www.facebook.com/marinijfan?fref=ts,@marinij,https://twitter.com/marinij,,D,D,MNG,38.004018,-122.538689
5,Santa Cruz Sentinel,http://www.santacruzsentinel.com/,"1800 Green Hills Road, Suite 210, Scotts Valley, CA 95066",1800 Green Hills Road, Suite 210,Scotts Valley,CA,95066,BANG - Bay Area News Group,https://www.facebook.com/SCSentinel?fref=ts,@scsentinel,https://twitter.com/scsentinel,http://www.newseum.org/todaysfrontpages/hr.asp?fpVname=CA_SCS&ref_pge=lst,D,D,MNG,37.051827,-122.009262
6,The Denver Post,http://www.denverpost.com,"101 W. Colfax Ave., Suite 600, Denver, CO 80202",101 W. Colfax Ave., Suite 600,Denver,CO,80202,COLORADO,http://www.facebook.com/denverpost,@denverpost,https://twitter.com/denverpost,http://webmedia.newseum.org/newseum-multimedia/dfp/jpg15/lg/CO_DP.jpg,D,D,MNG,39.74067,-104.988789
7,Boulder Daily Camera,http://www.dailycamera.com/,"5450 Western Ave., Boulder, CO 80301",5450 Western Ave.,,Boulder,CO,80301,COLORADO,http://www.facebook.com/dailycamera?ref=ts&fref=ts,@dailycamera,https://twitter.com/dailycamera,,D,D,MNG,40.017747,-105.226818
8,Akron News Reporter,http://www.akronnewsreporter.com/,"69 Main Ave., Akron, CO 80720",69 Main Ave.,,Akron,CO,80720,COLORADO,http://www.facebook.com/AkronNewsReporter,@AkronNewsReport,https://twitter.com/AkronNewsReport,,W,W,MNG,40.15875,-103.212743
9,Broomfield Enterprise,http://www.broomfieldenterprise.com/,"3400 Industrial Lane, Suite 2, Broomfield, CO 80020",3400 Industrial Lane, Suite 2,Broomfield,CO,80020,COLORADO,http://www.facebook.com/BroomfieldEnterprise?fref=ts,@bfld_enterprise,https://twitter.com/bfld_enterprise,,W,W,MNG,39.923532,-105.107038
10,Brush News Tribune,http://www.brushnewstribune.com/,"109 Clayton St., Brush, CO 80723",109 Clayton St.,,Brush,CO,80723,COLORADO,http://www.facebook.com/BrushNewsTribune?fref=ts,@BrushNewsTrib,https://twitter.com/BrushNewsTrib,,W,W,MNG,40.254487,-103.623173
11,Estes Park Trail-Gazette,http://www.eptrail.com/,"251 Moraine Ave., Estes Park, CO 80517",251 Moraine Ave.,,Estes Park,CO,80517,COLORADO,http://www.facebook.com/eptrail?fref=ts,@EPTrailGazette,https://twitter.com/EPTrailGazette,,W,W,MNG,40.373912,-105.523577
12,Journal-Advocate,http://www.journal-advocate.com/,"504 North 3rd St., Sterling, CO 80751",504 North 3rd St.,,Sterling,CO,80751,COLORADO,http://www.facebook.com/journaladvocate?fref=ts,@SterlingJA,https://twitter.com/SterlingJA,,D,D,MNG,40.628673,-103.204832
13,Julesburg Advocate,http://www.julesburgadvocate.com/,"108 Cedar St., Julesburg, CO 80737",108 Cedar St.,,Julesburg,CO,80737,COLORADO,http://www.facebook.com/JulesburgAdvocate?fref=ts,@JlsburgAdvocate,https://twitter.com/JlsburgAdvocate,,W,W,MNG,40.986661,-102.262424
14,Lamar Ledger,http://www.lamarledger.com/,"310 South 5th St., Lamar, CO 81052",310 South 5th St.,,Lamar,CO,81052,COLORADO,http://www.facebook.com/lamarledger?fref=ts,@LamarLedger,https://twitter.com/LamarLedger,,W,W,MNG,38.086885,-102.620438
15,The Burlington Record,http://www.burlington-record.com/,"302 South 14th St., Burlington, CO 80807",302 South 14th St.,,Burlington,CO,80807,COLORADO,http://www.facebook.com/BurlingtonRecord?ref=ts&fref=ts,@BrlingtonRecord,https://twitter.com/BrlingtonRecord,,W,W,MNG,39.300429,-102.268031
16,The Fort Morgan Times,http://www.fortmorgantimes.com/,"329 Main St., Fort Morgan, CO 80701",329 Main St.,,Fort Morgan,CO,80701,COLORADO,http://www.facebook.com/fortmorgantimes?ref=ts&fref=ts,@FortMorganTimes,https://twitter.com/FortMorganTimes,,D,D,MNG,40.250315,-103.801487
17,Longmont Times Call,http://www.timescall.com/,"350 Terry St., Longmont, CO 80501",350 Terry St.,,Longmont,CO,80501,COLORADO,http://www.facebook.com/LongmontTimesCall?fref=ts,@TimesCall,https://twitter.com/TimesCall,,D,D,MNG,40.164849,-105.105131
