Id,Label,Alexa Rank,Location,Number of Out Links,Number of In Links,Weights of Out Links,Weights of In links,Diff Weights,Weights of Self links,PageRank
5209,dw.de,1073,Alexa Top 500,15,5,43,15,-28,3459851,6.648486013302489e-05
14176,yr.no,1866,Alexa Top 500,5,4,14,7,-7,9017992,6.494045393422864e-05
34761,al.com,5970,Alexa Top 500,59,62,8005,321,-7684,504497,0.0005111135451604644
36550,ap.org,1452,Alexa Top 500,120,402,145,144442,144297,22855,0.009014651595011207
52063,cbc.ca,808,Alexa Top 500,148,199,6838,12249,5411,7678791,0.0013369612533391394
84369,ft.com,887,Alexa Top 500,32,164,10487,66905,56418,15646668,0.0018214896108391398
99274,hr.com,43525,Alexa Top 500,17,4,2206,13,-2193,172042,7.892029924846728e-05
106833,in.gov,10068,Indiana,82,100,272,1408,1136,320844,0.0010122607971918237
145462,nj.com,2122,New Jersey,173,174,123487,11990,-111497,5864277,0.0010508150241741907
152330,ok.gov,29143,Oklahoma,20,27,73,761,688,274820,0.00030372975698660706
158391,pe.com,22597,California,1,27,1,56,55,9026,0.00012978919421046425
162272,pr.gov,44574,US Territories,2,5,2,6,4,9263,6.714156160399944e-05
168785,rd.com,4223,Alexa Top 500,20,42,28,103,75,130176,0.00010755054447412926
173312,rte.ie,5610,Alexa Top 500,21,42,78,320,242,3572379,0.00010703665177054164
197666,un.org,3131,New York,23,175,350,3791,3441,1184250,0.0015279249370607243
256207,ack.net,259982,Massachusetts,3,6,2630,10,-2620,48658,6.800326887405343e-05
258502,adn.com,27324,Alexa Top 500,96,132,901,2104,1203,1923298,0.00034444911297479557
260921,afp.com,6630,Alexa Top 500,0,24,0,2360,2360,26,8.306028389327282e-05
260975,afr.com,12385,Alexa Top 500,3,12,3,838,835,306980,7.252084244599718e-05
264983,ajc.com,3793,Georgia,271,187,403909,19149,-384760,7847463,0.0007627247908177201
273985,app.com,26346,New Jersey,9,59,4437,1807,-2630,275948,0.00044544727200708365
295383,biv.com,70715,Alexa Top 500,1,4,4,7,3,4589,6.507669137110224e-05
295787,bju.edu,262603,South Carolina,0,16,0,33,33,34192,6.691187572716454e-05
309638,cbn.com,9707,Alexa Top 500,37,71,1466,393,-1073,814666,0.00011252707443220578
318483,cjr.org,49657,New York,317,104,8626,1731,-6895,336691,0.0002469892443094137
321575,cnn.com,47,Alexa Top 500,192,519,47631,873510,825879,2172278,0.009128391353710722
321985,cny.org,3283508,New York,1,5,102,7,-95,3052,6.474042330437931e-05
330026,cwu.edu,124068,Washington,8,16,9,23,14,2752,6.521626917920657e-05
340829,djc.com,460649,Washington,2,15,60,37,-23,177994,7.230640859625767e-05
341940,dln.com,1229528,Ohio,3,4,282,5,-277,7633,0.00012611746583478535
343055,dnj.com,155422,Tennessee,6,10,9047,24,-9023,82435,0.00026701239834712185
344867,doy.org,5797968,Ohio,1,4,1,7,6,981,6.523081910705216e-05
375043,fcc.gov,9628,Alexa Top 500,47,142,112,733,621,65780,0.0007654881043538636
398709,good.is,9147,Alexa Top 500,193,67,3790,1299,-2491,2234627,0.0001577917387545689
407760,hcn.org,161216,Colorado,85,43,444,12868,12424,1630806,0.0002475778203828824
