asho,Site,URL,Full Street Address,Street address,Suite,City,State,Zip,Group,Brand Facebook URL,Brand Twitter handle,Brand Twitter URL,Newseum front page link KILL/WILL NOT WORK,Daily/Wkly,Frequency,MNG/JRC,"City, State",Marker,lat,lon
82,Four Corners Business Journal,http://www.businessjournals.com/,"201 N. Allen, Farmington, NM 87401",201 N. Allen,,Farmington,NM,87401,NEW MEXICO,,,,,?,,MNG,,,36.732172,-108.207213
64,The News Herald,http://Thenewsherald.com,"One Heritage Drive, Suite 100, Southgate, MI 48195",One Heritage Drive, Suite 100,Southgate,MI,48195,MICHIGAN,http://bit.ly/NewsHeraldMIbrandFB,@NewsHeraldMI,https://twitter.com/NewsHeraldMI,,3/W,W,JRC,"Southgate, MI",small_red,42.210209,-83.224242
62,Daily Tribune,http://Dailytribune.com,"100 Macomb Daily Drive, Mount Clemens, MI 48043",100 Macomb Daily Drive,,Mount Clemens,MI,48043,MICHIGAN,http://bit.ly/DailyTribbrandFB,@dailytrib,https://twitter.com/DailyTrib,,4/w,W,JRC,"Mt. Clemens, MI",small_red,42.599239,-82.862488
21,Colorado Daily,http://www.coloradodaily.com,"5450 Western Ave., Boulder, CO 80301",5450 Western Ave.,,Boulder,CO,80301,COLORADO,http://www.facebook.com/coloradodaily?fref=ts,@coloradodaily,https://twitter.com/coloradodaily,,5/W,D,MNG,,small_red,40.017382,-105.226684
76,Alamogordo Daily News,http://www.alamogordonews.com,"518 24th St., Alamogordo, NM 88310",518 24th St.,,Alamogordo,NM,88310,NEW MEXICO,http://bit.ly/AlamogordoBrandFB,@alamogordonews,https://twitter.com/alamogordonews,,6/W,D,MNG,"Alamogordo, NM",small_blue,32.918396,-105.955231
136,Bennington Banner,http://www.benningtonbanner.com,"425 Main Street, Bennington, VT 05201",425 Main Street,,Bennington,VT,5201,VERMONT,http://www.facebook.com/benningtonbanner,@banner_news,https://twitter.com/banner_news,,D,D,MNG,"Bennington, VT",small_blue,42.8781408,-73.1962308
7,Boulder Daily Camera,http://www.dailycamera.com/,"5450 Western Ave., Boulder, CO 80301",5450 Western Ave.,,Boulder,CO,80301,COLORADO,http://www.facebook.com/dailycamera?ref=ts&fref=ts,@dailycamera,https://twitter.com/dailycamera,,D,D,MNG,"Boulder, CO",small_blue,40.017382,-105.226684
137,Brattleboro Reformer,http://www.reformer.com/,"62 Black Mountain Road, Brattleboro, VT 05301-9242",62 Black Mountain Road,,Brattleboro,VT, 05301-9242,VERMONT,http://www.facebook.com/brattlebororeformer,@BrattReformer,https://twitter.com/BrattReformer,,D,D,MNG,"Brattleboro, VT",small_blue,42.88062,-72.5621199
20,Canon City Daily Record,http://www.canoncitydailyrecord.com/,"701 South 9th St., Canon City, CO 81212",701 South 9th St.,,Canon City,CO,81212,COLORADO,http://www.facebook.com/CanonCityDailyRecord?fref=ts,@CCDR_news,https://twitter.com/CCDR_news,,D,D,MNG,"Canon City, CO",small_blue,38.437142,-105.232593
78,Carlsbad Current-Argus,http://www.currentargus.com,"620 S. Main St., Carlsbad, NM 88221-1629",620 S. Main St.,,Carlsbad,NM, 88221-1629,NEW MEXICO,http://www.facebook.com/pages/Carlsbad-Current-Argus/130211193676772,@CCurrentArgus,https://twitter.com/CCurrentArgus,,D,D,MNG,"Carlsbad, NM",small_blue,32.4142212,-104.2264497
121,Chambersburg Public Opinion,http://www.publicopiniononline.com/,"77 N. 3rd Street, Chambersburg, PA 17201",77 N. 3rd Street,,Chambersburg,PA,17201,PENNSYLVANIA,http://www.facebook.com/publicopinionnews?fref=ts,@PONews,https://twitter.com/PONews,,D,D,MNG,"Chambersburg, PA",small_blue,39.9385777,-77.6567718
139,Charleston Daily Mail,http://dailymail.com/,"1001 Virginia St. E., Charleston, WV 25301-2835",1001 Virginia St. E.,,Charleston,WV, 25301-2835,WEST VIRGINIA,http://www.facebook.com/charlestondailymail?ref=ts&fref=ts,@charleywest,https://twitter.com/charleywest,http://webmedia.newseum.org/newseum-multimedia/dfp/jpg15/lg/WV_CDM.jpg,D,D,MNG,,,38.347859,-81.6344562
1,Contra Costa Times,http://www.contracostatimes.com,"2640 Shadelands Drive, Walnut Creek, CA 94598",2640 Shadelands Drive,,Walnut Creek,CA,94598,BANG - Bay Area News Group,https://www.facebook.com/contracostatimes?fref=ts,@CCTimes,https://twitter.com/CCTimes,http://webmedia.newseum.org/newseum-multimedia/dfp/jpg15/lg/CA_CCT.jpg,D,D,MNG,"Walnut Creek, CA",small_blue,37.928424,-122.023764
41,Daily Breeze,http://www.dailybreeze.com/,"21250 Hawthorne Blvd, Suite 170, Torrance, CA 90503",21250 Hawthorne Blvd, Suite 170,Torrance,CA,90503,LANG - Los Angeles News Group,http://www.facebook.com/dailybreeze?ref=ts&fref=ts,@DailyBreezeNews,https://twitter.com/DailyBreezeNews,http://webmedia.newseum.org/newseum-multimedia/dfp/jpg15/lg/CA_DB.jpg,D,D,MNG,"TORRANCE, CA",small_blue,33.8329619,-118.3528499
96,Daily Democrat,http://www.dailydemocrat.com/,"711 Main St., Woodland, CA 95695",711 Main St.,,Woodland,CA,95695,NORCAL - Northern California,http://www.facebook.com/dailydemocrat?ref=ts&fref=ts,@woodlandnews,https://twitter.com/woodlandnews,,D,D,MNG,"Woodland, CA",small_blue,38.6774448,-121.7713758
83,Daily Freeman,http://Dailyfreeman.com,"79 Hurley Ave., Kingston, NY 12401",79 Hurley Ave.,,Kingston,NY,12401,NEW YORK,http://www.facebook.com/Freeman,@dailyfreeman,https://twitter.com/DailyFreeman,,D,D,JRC,"Kingston, NY",small_blue,41.937761,-74.028575
108,Daily Local News,http://Dailylocal.com,"250 North Bradford Avenue, West Chester, PA 19382",250 North Bradford Avenue,,West Chester,PA,19382,PENNSYLVANIA,http://www.facebook.com/dailylocalnews,@Wcdailylocal,https://twitter.com/wcdailylocal,http://webmedia.newseum.org/newseum-multimedia/dfp/jpg15/lg/PA_DLN.jpg,D,D,JRC,"West Chester, PA",small_blue,39.9584509,-75.6190589
